Absorbance,Wavenumber
3.996748e+002,0.000000e+000
4.001569e+002,-1.223605e-002
4.006390e+002,-1.009296e-002
4.011211e+002,-8.418221e-003
4.016032e+002,-7.274217e-003
4.020854e+002,-6.604759e-003
4.025675e+002,-6.263959e-003
4.030496e+002,-6.092953e-003
4.035317e+002,-5.975904e-003
4.040138e+002,-5.878667e-003
4.044959e+002,-5.834110e-003
4.049781e+002,-5.911648e-003
4.054602e+002,-6.158979e-003
4.059423e+002,-6.573037e-003
4.064244e+002,-7.096372e-003
4.069065e+002,-7.653065e-003
4.073886e+002,-8.175882e-003
4.078708e+002,-8.639282e-003
4.083529e+002,-9.047965e-003
4.088350e+002,-9.413240e-003
4.093171e+002,-9.722970e-003
4.097992e+002,-9.936469e-003
4.102813e+002,-9.988993e-003
4.107635e+002,-9.833474e-003
4.112456e+002,-9.461063e-003
4.117277e+002,-8.920285e-003
4.122098e+002,-8.297897e-003
4.126919e+002,-7.702612e-003
4.131740e+002,-7.229380e-003
4.136562e+002,-6.931791e-003
4.141383e+002,-6.821459e-003
4.146204e+002,-6.876710e-003
4.151025e+002,-7.066414e-003
4.155846e+002,-7.361240e-003
4.160667e+002,-7.740761e-003
4.165489e+002,-8.180921e-003
4.170310e+002,-8.624080e-003
4.175131e+002,-8.967025e-003
4.179952e+002,-9.057052e-003
4.184773e+002,-8.756978e-003
4.189594e+002,-8.061443e-003
4.194416e+002,-7.131477e-003
4.199237e+002,-6.195859e-003
4.204058e+002,-5.415452e-003
4.208879e+002,-4.856307e-003
4.213700e+002,-4.510951e-003
4.218521e+002,-4.350833e-003
4.223343e+002,-4.347618e-003
4.228164e+002,-4.475994e-003
4.232985e+002,-4.708968e-003
4.237806e+002,-5.004284e-003
4.242627e+002,-5.308106e-003
4.247448e+002,-5.566313e-003
4.252270e+002,-5.744852e-003
4.257091e+002,-5.847121e-003
4.261912e+002,-5.917107e-003
4.266733e+002,-6.021394e-003
4.271554e+002,-6.218364e-003
4.276375e+002,-6.540465e-003
4.281197e+002,-6.971540e-003
4.286018e+002,-7.453423e-003
4.290839e+002,-7.901131e-003
4.295660e+002,-8.239381e-003
4.300481e+002,-8.422414e-003
4.305302e+002,-8.449386e-003
4.310124e+002,-8.354683e-003
4.314945e+002,-8.188790e-003
4.319766e+002,-7.992289e-003
4.324587e+002,-7.782551e-003
4.329408e+002,-7.554803e-003
4.334229e+002,-7.299958e-003
4.339051e+002,-7.018686e-003
4.343872e+002,-6.732632e-003
4.348693e+002,-6.479132e-003
4.353514e+002,-6.294103e-003
4.358335e+002,-6.195761e-003
4.363156e+002,-6.175214e-003
4.367978e+002,-6.201542e-003
4.372799e+002,-6.242763e-003
4.377620e+002,-6.285449e-003
4.382441e+002,-6.339723e-003
4.387262e+002,-6.432776e-003
4.392083e+002,-6.591379e-003
4.396905e+002,-6.828635e-003
4.401726e+002,-7.135226e-003
4.406547e+002,-7.482735e-003
4.411368e+002,-7.829544e-003
4.416189e+002,-8.138649e-003
4.421010e+002,-8.385560e-003
4.425832e+002,-8.557745e-003
4.430653e+002,-8.650520e-003
4.435474e+002,-8.657861e-003
4.440295e+002,-8.569310e-003
4.445116e+002,-8.379677e-003
4.449937e+002,-8.097478e-003
4.454759e+002,-7.752250e-003
4.459580e+002,-7.389907e-003
4.464401e+002,-7.064947e-003
4.469222e+002,-6.817382e-003
4.474043e+002,-6.660265e-003
4.478864e+002,-6.577215e-003
4.483686e+002,-6.534949e-003
4.488507e+002,-6.503157e-003
4.493328e+002,-6.468850e-003
4.498149e+002,-6.438228e-003
4.502970e+002,-6.430981e-003
4.507791e+002,-6.463757e-003
4.512613e+002,-6.536973e-003
4.517434e+002,-6.632594e-003
4.522255e+002,-6.721083e-003
4.527076e+002,-6.777586e-003
4.531897e+002,-6.797354e-003
4.536718e+002,-6.795886e-003
4.541540e+002,-6.796375e-003
4.546361e+002,-6.815327e-003
4.551182e+002,-6.849249e-003
4.556003e+002,-6.870481e-003
4.560824e+002,-6.835224e-003
4.565645e+002,-6.702747e-003
4.570467e+002,-6.454192e-003
4.575288e+002,-6.110171e-003
4.580109e+002,-5.721047e-003
4.584930e+002,-5.340116e-003
4.589751e+002,-4.995669e-003
4.594572e+002,-4.685663e-003
4.599394e+002,-4.394820e-003
4.604215e+002,-4.118093e-003
4.609036e+002,-3.872717e-003
4.613857e+002,-3.700274e-003
4.618678e+002,-3.648724e-003
4.623499e+002,-3.751028e-003
4.628321e+002,-4.004878e-003
4.633142e+002,-4.368481e-003
4.637963e+002,-4.772419e-003
4.642784e+002,-5.142485e-003
4.647606e+002,-5.426087e-003
4.652427e+002,-5.593823e-003
4.657248e+002,-5.644619e-003
4.662069e+002,-5.594870e-003
4.666890e+002,-5.471634e-003
4.671711e+002,-5.304996e-003
4.676533e+002,-5.125851e-003
4.681354e+002,-4.966647e-003
4.686175e+002,-4.858076e-003
4.690996e+002,-4.825670e-003
4.695817e+002,-4.882387e-003
4.700638e+002,-5.023608e-003
4.705460e+002,-5.222766e-003
4.710281e+002,-5.433515e-003
4.715102e+002,-5.605762e-003
4.719923e+002,-5.696619e-003
4.724744e+002,-5.690046e-003
4.729565e+002,-5.602492e-003
4.734387e+002,-5.471896e-003
4.739208e+002,-5.334814e-003
4.744029e+002,-5.213697e-003
4.748850e+002,-5.116453e-003
4.753671e+002,-5.042080e-003
4.758492e+002,-4.992852e-003
4.763314e+002,-4.977195e-003
4.768135e+002,-5.006937e-003
4.772956e+002,-5.090452e-003
4.777777e+002,-5.223519e-003
4.782598e+002,-5.386982e-003
4.787419e+002,-5.552574e-003
4.792241e+002,-5.694624e-003
4.797062e+002,-5.801711e-003
4.801883e+002,-5.880334e-003
4.806704e+002,-5.951229e-003
4.811525e+002,-6.038746e-003
4.816346e+002,-6.161102e-003
4.821168e+002,-6.320750e-003
4.825989e+002,-6.505116e-003
4.830810e+002,-6.693971e-003
4.835631e+002,-6.869861e-003
4.840452e+002,-7.022109e-003
4.845273e+002,-7.149404e-003
4.850095e+002,-7.252679e-003
4.854916e+002,-7.329085e-003
4.859737e+002,-7.370361e-003
4.864558e+002,-7.366126e-003
4.869379e+002,-7.311101e-003
4.874200e+002,-7.212956e-003
4.879022e+002,-7.092623e-003
4.883843e+002,-6.981419e-003
4.888664e+002,-6.907692e-003
4.893485e+002,-6.887864e-003
4.898306e+002,-6.919040e-003
4.903127e+002,-6.980702e-003
4.907949e+002,-7.039421e-003
4.912770e+002,-7.063643e-003
4.917591e+002,-7.033357e-003
4.922412e+002,-6.944150e-003
4.927233e+002,-6.808934e-003
4.932054e+002,-6.650378e-003
4.936876e+002,-6.496237e-003
4.941697e+002,-6.370580e-003
4.946518e+002,-6.294528e-003
4.951339e+002,-6.281007e-003
4.956160e+002,-6.333649e-003
4.960981e+002,-6.443452e-003
4.965803e+002,-6.586842e-003
4.970624e+002,-6.733546e-003
4.975445e+002,-6.850749e-003
4.980266e+002,-6.916758e-003
4.985087e+002,-6.927160e-003
4.989908e+002,-6.893604e-003
4.994730e+002,-6.834702e-003
4.999551e+002,-6.765908e-003
5.004372e+002,-6.690708e-003
5.009193e+002,-6.596633e-003
5.014014e+002,-6.464867e-003
5.018835e+002,-6.283750e-003
5.023657e+002,-6.062991e-003
5.028478e+002,-5.837542e-003
5.033299e+002,-5.654921e-003
5.038120e+002,-5.552771e-003
5.042941e+002,-5.547503e-003
5.047762e+002,-5.625616e-003
