Absorbance,Wavenumber
3.996748e+002,0.000000e+000
4.001569e+002,9.746254e-002
4.006390e+002,9.711794e-002
4.011211e+002,9.672339e-002
4.016032e+002,9.619139e-002
4.020854e+002,9.544977e-002
4.025675e+002,9.446441e-002
4.030496e+002,9.324766e-002
4.035317e+002,9.186552e-002
4.040138e+002,9.042440e-002
4.044959e+002,8.905771e-002
4.049781e+002,8.789295e-002
4.054602e+002,8.700031e-002
4.059423e+002,8.638018e-002
4.064244e+002,8.595242e-002
4.069065e+002,8.559822e-002
4.073886e+002,8.519495e-002
4.078708e+002,8.466179e-002
4.083529e+002,8.397371e-002
4.088350e+002,8.315223e-002
4.093171e+002,8.224085e-002
4.097992e+002,8.128402e-002
4.102813e+002,8.031677e-002
4.107635e+002,7.936294e-002
4.112456e+002,7.844874e-002
4.117277e+002,7.761522e-002
4.122098e+002,7.691083e-002
4.126919e+002,7.638413e-002
4.131740e+002,7.605696e-002
4.136562e+002,7.590911e-002
4.141383e+002,7.587923e-002
4.146204e+002,7.589021e-002
4.151025e+002,7.588720e-002
4.155846e+002,7.585883e-002
4.160667e+002,7.584601e-002
4.165489e+002,7.592983e-002
4.170310e+002,7.619842e-002
4.175131e+002,7.668144e-002
4.179952e+002,7.727270e-002
4.184773e+002,7.769062e-002
4.189594e+002,7.761676e-002
4.194416e+002,7.689355e-002
4.199237e+002,7.563308e-002
4.204058e+002,7.409019e-002
4.208879e+002,7.250199e-002
4.213700e+002,7.100961e-002
4.218521e+002,6.966594e-002
4.223343e+002,6.848401e-002
4.228164e+002,6.746103e-002
4.232985e+002,6.660400e-002
4.237806e+002,6.593702e-002
4.242627e+002,6.548744e-002
4.247448e+002,6.526043e-002
4.252270e+002,6.521946e-002
4.257091e+002,6.528711e-002
4.261912e+002,6.535501e-002
4.266733e+002,6.532093e-002
4.271554e+002,6.512460e-002
4.276375e+002,6.475586e-002
4.281197e+002,6.425753e-002
4.286018e+002,6.369995e-002
4.290839e+002,6.315251e-002
4.295660e+002,6.264877e-002
4.300481e+002,6.217984e-002
4.305302e+002,6.170164e-002
4.310124e+002,6.116621e-002
4.314945e+002,6.055182e-002
4.319766e+002,5.988193e-002
4.324587e+002,5.921474e-002
4.329408e+002,5.862574e-002
4.334229e+002,5.817125e-002
4.339051e+002,5.786556e-002
4.343872e+002,5.767822e-002
4.348693e+002,5.754318e-002
4.353514e+002,5.738736e-002
4.358335e+002,5.715444e-002
4.363156e+002,5.682961e-002
4.367978e+002,5.643879e-002
4.372799e+002,5.603381e-002
4.377620e+002,5.566657e-002
4.382441e+002,5.537883e-002
4.387262e+002,5.519575e-002
4.392083e+002,5.512927e-002
4.396905e+002,5.518551e-002
4.401726e+002,5.536377e-002
